Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
F;19542.51;Department of Public Libraries;Long Branch Library;Parttime-Regular;Library Assistant I;2013
F;100849.36;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;1989
F;40728.37;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative I;2013
F;48145.17;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2001
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
F;146384.28;Department of Health and Human Services;Income Supports;Fulltime-Regular;Manager II;2015
F;41598.04;County Council;Council Members and Staff;Parttime-Regular;Legislative Senior Aide III;2001
M;69313.04;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2013
M;102664;Department of Permitting Services;Land Development Sediment and Stormwater Inspection;Fulltime-Regular;Program Manager II;2003
F;83611.44;Fire and Rescue Services;Station 17;Fulltime-Regular;Firefighter/Rescuer III;1994
M;27805.44;Department of Liquor Control;Downtown Rockville;Parttime-Regular;Liquor Store Clerk I;2016
F;19542.5;Department of Public Libraries;Aspen Hill Library;Parttime-Regular;Library Assistant I;2013
F;43850.22;Department of Transportation;Transit Special Transportation and Medicaid;Fulltime-Regular;Community Services Aide II;2011
M;89485;Fire and Rescue Services;Station 19;Fulltime-Regular;Firefighter/Rescuer III;2000
F;22529.52;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2002
M;57235.41;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2009
F;88310.33;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist III;2001
F;86942.78;Department of Health and Human Services;School Health Services;Fulltime-Regular;Nurse Manager;2014
F;17793.55;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2013
F;132387.9;County Council;Council Members and Staff;Fulltime-Regular;Confidential Aide;2009
M;68054;Department of Police;PSB 1st District Educational Facilities Officers;Fulltime-Regular;Police Officer III;2009
M;43850.22;Department of Housing and Community Affairs;Housing Code Enforcement;Fulltime-Regular;Housing Code Inspector III;2012
F;48258.81;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2007
F;60515.7;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2001
M;40631.32;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2015
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1989
F;37838.45;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
F;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1990
F;69222.18;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Services Assistant;1989
M;62355.86;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Transit Coordinator;2003
M;40631.32;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2015
F;28772.17;Department of Liquor Control;Fallsgrove;Parttime-Regular;Liquor Store Clerk I;2015
F;93396;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Communications Supervisor;1988
M;71730.49;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector II;2007
M;65209.54;Department of Recreation;Youth Development Your Sports/Activities;Fulltime-Regular;Recreation Specialist;2012
F;58512.07;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2014
F;45384.51;Department of Public Libraries;Rockville Library;Fulltime-Regular;Library Assistant II;2008
M;118930;Fire and Rescue Services;Station 20;Fulltime-Regular;Fire/Rescue Captain;1998
F;46626.87;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2003
M;58671.02;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2002
F;57235.41;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2010
F;59873.55;Department of Finance;Accounts Payable;Fulltime-Regular;Fiscal Assistant;1999
M;64141;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1997
F;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;88463;Department of Health and Human Services;Budget Team;Fulltime-Regular;Management and Budget Specialist III;1998
F;83658;Department of Police;PSB 2nd District Educational Facilities Officers;Fulltime-Regular;Police Officer III;2002
M;40631.32;Fire and Rescue Services;Emergency Communications Center (ECC);Fulltime-Regular;Public Safety Communications Specialist III;2015
M;58671.02;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2002
M;63067.93;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1995
M;58941.9;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1994
F;66065.23;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;1986
M;42053.83;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2014
M;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2010
F;93961.91;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2005
M;92756.7;Department of Police;PSB 2nd District Special Assignment Team;Fulltime-Regular;Police Officer III;1990
F;91790.12;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Social Worker II;1999
M;63445;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2013
M;78251.45;Correction and Rehabilitation;PRRS Reentry Services and Programs;Fulltime-Regular;Correctional Specialist III;2009
F;44753;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2010
M;42053.83;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
F;39164.85;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2008
M;96197.88;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1989
F;104434.06;Office of Human Resources;Recruitment and Selection Division;Fulltime-Regular;Human Resources Specialist III;2006
M;63493;Fire and Rescue Services;Station 13;Fulltime-Regular;Firefighter/Rescuer III;2007
M;72902;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2006
M;45048.5;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2011
M;52000;Department of Transportation;Traffic Engineering Studies Section;Fulltime-Regular;Engineer Technician II;2016
F;71000.64;Department of Transportation;Transit COS Taxicab Regulation;Fulltime-Regular;Program Specialist II;2012
F;63552.04;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Services Assistant;1999
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
M;40453;Department of Police;FSB Animal Services Division;Fulltime-Regular;Principal Administrative Aide;2012
F;69963.56;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Program Specialist I;2005
M;50053.88;Department of Transportation;Highway Services;Fulltime-Regular;Public Service Worker II;1988
M;68069.27;Department of Liquor Control;Wheaton;Fulltime-Regular;Liquor Store Manager;2002
F;45028.5;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Public Safety Telephone Reporting Aide I;2013
M;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1981
M;67538.28;Department of Liquor Control;Liquor and Wine Delivery Operations;Fulltime-Regular;Work Force Leader II;1998
F;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
F;25420.64;Sheriff Office;Sheriff Domestic Violence;Parttime-Regular;Public Safety Reporting Aide I;2015
M;46626.87;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2007
M;92756.7;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Police Officer III;1986
M;77289.48;Department of Liquor Control;Downtown Rockville;Fulltime-Regular;Liquor Store Manager;1998
M;97224.98;Fire and Rescue Services;Station 20;Fulltime-Regular;Master Firefighter/Rescuer;1985
M;18723.15;Department of Public Libraries;White Oak Library;Parttime-Regular;Library Assistant I;1982
F;93396;Department of Environmental Protection;Management Services;Fulltime-Regular;Administrative Specialist III;1980
M;64141;Department of General Services;Facilities Maintenance;Fulltime-Regular;Public Service Craftsworker;1997
M;46469;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1999
M;92756.7;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1996
F;53788;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
F;97912;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;1998
M;78179.34;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Equipment Maintenance Crew Chief;2005
F;100849.36;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;1965
M;92756.7;Department of Police;ISB Major Crimes Division Cold Case Section;Fulltime-Regular;Police Officer III;1992
M;89620;Department of Police;PSB 2nd District Station;Fulltime-Regular;Police Officer III;2002
M;90896;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;1999
F;82821;Fire and Rescue Services;Station 29;Fulltime-Regular;Firefighter/Rescuer III;1999
F;36797.13;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2014
F;46469;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1998
M;45048.5;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2011
M;53788;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
M;65716;Fire and Rescue Services;Station 35;Fulltime-Regular;Firefighter/Rescuer III;2007
F;43761.61;Department of Public Libraries;Little Falls Library;Parttime-Regular;Librarian I;1994
F;100095.45;Department of Environmental Protection;Management Services;Fulltime-Regular;Management and Budget Specialist III;2006
F;135392;Board of Appeals Department;Executive Director;Fulltime-Regular;Manager III;2005
M;50957.62;Department of General Services;Central Duplicating;Fulltime-Regular;Mail Clerk Leader;1999
F;71830.44;County Council;Council Central Staff;Fulltime-Regular;Legislative Services Coordinator;1994
M;79819.62;Department of Permitting Services;Land Development Right-of-Way Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;2014
F;70301;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2000
M;92469.07;Fire and Rescue Services;Station 3;Fulltime-Regular;Master Firefighter/Rescuer;1993
F;50785.5;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2014
M;48258.81;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2006
F;85606.4;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Supervisory Therapist;2015
M;57265;Fire and Rescue Services;Station 1;Fulltime-Regular;Firefighter/Rescuer III;2012
F;70000;Department of Transportation;Director Office;Fulltime-Regular;Senior Executive Administrative Aide;2016
M;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1989
M;87523.22;Department of Permitting Services;Team 2 Residential Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1987
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1989
F;109857.26;Department of Health and Human Services;Income Supports;Fulltime-Regular;Manager III;1991
M;90290.12;Office of Public Information;MC311;Fulltime-Regular;Program Manager I;2008
M;118400;Department of Technology Services;ETSD Network Services;Fulltime-Regular;Senior Information Technology Specialist;1989
M;82821;Fire and Rescue Services;Station 7;Fulltime-Regular;Firefighter/Rescuer III;2001
M;53084.71;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Coordinator;2007
F;94210.94;Office of Public Information;MC311;Fulltime-Regular;Program Manager II;2004
F;97912;Department of Health and Human Services;Women Health Services;Fulltime-Regular;Community Health Nurse II;2005
M;60501;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2012
F;84974;Department of Transportation;Transportation Property Acquisition Section;Fulltime-Regular;Real Estate Specialist III;1998
F;103506;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Sergeant;1998
M;96624;Department of Police;PSB 2nd District Community Action Team;Fulltime-Regular;Police Sergeant;2003
M;86673.48;Office of Public Information;Web Content and Graphic Management;Fulltime-Regular;Visual Information Specialist;1990
M;65752;Department of Police;PSB 4th District Community Action Team;Fulltime-Regular;Police Officer III;2010
M;65752;Department of Police;PSB 3rd District Community Action Team;Fulltime-Regular;Police Officer III;2010
F;97190.31;Department of Health and Human Services;Adult Foster Care - Project Home;Fulltime-Regular;Social Worker III;2004
M;55328;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2013
M;92756.7;Department of Police;PSB 2nd District Community Action Team;Fulltime-Regular;Police Officer III;1993
F;70319.8;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2008
M;50699.15;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
M;102664;Department of Finance;Accounts Payable;Fulltime-Regular;Program Manager II;2008
F;102664;Department of Finance;Tax Operations;Fulltime-Regular;Senior Financial Specialist;2002
F;107657;Department of Permitting Services;Team 1 Residential Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;2003
F;27569.84;Department of Public Libraries;Olney Library;Parttime-Regular;Library Assistant I;2000
M;52693;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2013
M;42053.83;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
M;56715.6;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2014
F;100849.36;Department of Health and Human Services;Clinical Assessment and Triage Services;Fulltime-Regular;Therapist II;1988
F;91882.2;Correction and Rehabilitation;DS Intake Classification and Re-Entry Services;Fulltime-Regular;Correctional Specialist V;2001
M;53788;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
M;32098;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2016
M;82182;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;2004
M;79663.29;Department of General Services;Facilities Maintenance;Fulltime-Regular;Electrician II;1990
M;79647.84;Correction and Rehabilitation;DS MCCF Facilities Maintenance;Fulltime-Regular;Correctional Officer III (Corporal);1990
M;76716;Fire and Rescue Services;Station 3;Fulltime-Regular;Firefighter/Rescuer III;2006
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1995
F;52472.35;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2005
M;59187;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2006
F;42662.89;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2015
M;46626.87;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2008
M;80145;Fire and Rescue Services;Station 12;Fulltime-Regular;Master Firefighter/Rescuer;2004
M;33395;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
M;41781.91;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
F;73801;Fire and Rescue Services;Budgets and Grants;Fulltime-Regular;Administrative Specialist I;2000
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1992
M;43244.28;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2011
M;89620;Department of Police;ISB Family Crimes Division Child Abuse Sexual Assault Section;Fulltime-Regular;Police Officer III;1998
M;92756.7;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Police Officer III;1994
M;70422;Department of General Services;Fleet Management Services;Fulltime-Regular;Senior Supply Technician;2007
F;55488.29;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide I;2008
F;91532;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1997
M;65752;Department of Police;MSB Personnel Division Recruitment Section;Fulltime-Regular;Police Officer III;2010
M;55671;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
F;69222.18;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Office Services Coordinator;1984
M;52472.36;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2005
M;78250.23;Department of Health and Human Services;Facilities and Logistical Services;Fulltime-Regular;Administrative Specialist II;1968
M;50211;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
F;37838.48;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
M;77328;Correction and Rehabilitation;DS MCDC Central Processing Unit;Fulltime-Regular;Correctional Officer III (Corporal);2001
F;70000;Department of Health and Human Services;Chief Operating Officer;Fulltime-Regular;Administrative Specialist III;2016
M;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1985
M;73775.81;Department of Police;PSB 6th District Station;Fulltime-Regular;Police District Station Assistant;1996
M;74424;Sheriff Office;Administration;Fulltime-Regular;Deputy Sheriff III;2004
M;118400;Department of Technology Services;ESOD Public Safety Data Support;Fulltime-Regular;Senior Information Technology Specialist;2008
F;46863.15;Correction and Rehabilitation;PTS Intervention Program for Substance Abusers;Fulltime-Regular;Correctional Specialist II;2014
F;37625.9;Department of Public Libraries;Poolesville Library;Parttime-Regular;Library Assistant I;1977
M;58657.24;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2001
M;89620;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2000
M;92756.7;Department of Police;FSB Traffic Division School Safety Section;Fulltime-Regular;Police Officer III;1986
M;100670.07;Fire and Rescue Services;Station 35;Fulltime-Regular;Master Firefighter/Rescuer;1993
M;37684;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2003
M;83658;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2002
F;95263.92;Department of General Services;Administration and Budget;Fulltime-Regular;Administrative Specialist III;1986
F;94532.52;Office of Public Information;MC311;Fulltime-Regular;Program Manager II;2010
F;36120.86;Department of Public Libraries;Collection Development;Parttime-Regular;Library Technician;1972
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
M;63067.93;Department of Liquor Control;Flower Avenue;Fulltime-Regular;Liquor Store Clerk II;1993
M;56463.95;Department of General Services;Fleet Management Services;Fulltime-Regular;Supply Technician III;2008
F;97912;Department of Health and Human Services;Care Coordination;Fulltime-Regular;Community Health Nurse II;1999
F;80902.5;Department of Health and Human Services;Home Care Services;Fulltime-Regular;Social Worker IV;2016
F;53086.16;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Coordinator;2006
F;70350;Department of Environmental Protection;Environmental Planning and Policy Implementation;Fulltime-Regular;Program Manager I;2016
F;47300.93;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Office Services Coordinator;2009
M;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
M;40631.32;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2015
F;42662.88;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2015
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
F;87967.15;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;1984
M;70435;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2007
M;63493;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2008
M;58448;Department of General Services;Fleet Management Services;Fulltime-Regular;Supply Technician III;2000
M;42053.83;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2014
F;19263.33;Department of Public Libraries;Silver Spring Library;Parttime-Regular;Library Desk Assistant;2013
F;97374.14;Office of Human Resources;Training and Organizational Development Team;Fulltime-Regular;Human Resources Specialist III;2006
F;77817.32;Department of Health and Human Services;Educational Support;Fulltime-Regular;Program Manager I;2006
M;117174.02;Fire and Rescue Services;Station 15;Fulltime-Regular;Fire/Rescue Captain;1989
F;60201.44;Department of Public Libraries;Kensington Park Library;Fulltime-Regular;Library Assistant I;1996
M;78096;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;2004
M;48260.15;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2006
M;118400;Department of Technology Services;EASD DCM Administration;Fulltime-Regular;Senior Information Technology Specialist;2004
F;157996.4;Board of Elections;Director;Fulltime-Regular;Manager I;2001
F;45701.39;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Call-Taker II;2013
M;52603.81;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;2007
M;57476.06;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Public Service Worker III;1990
F;73801;Department of Police;Management Services Bureau;Fulltime-Regular;Administrative Specialist I;2001
M;43525.72;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2013
F;64973.78;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;1999
M;73801;Department of Transportation;Traffic Engineering Studies Section;Fulltime-Regular;Engineer Technician II;2006
F;60201.44;Department of Public Libraries;Potomac Library;Fulltime-Regular;Library Assistant I;1992
M;63493;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2008
M;79747.8;Department of Recreation;Countywide Programs Sports;Fulltime-Regular;Recreation Specialist;2002
F;95000;Department of Health and Human Services;Human Resources;Fulltime-Regular;Program Manager II;2016
F;75595.57;Department of Health and Human Services;Community Action Agency;Fulltime-Regular;Program Specialist II;2010
M;175127;Department of Transportation;Transportation Engineering Administration;Fulltime-Regular;Manager I;2001
M;56300;Department of Permitting Services;Land Development Right-of-Way Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2016
M;93396;Department of Housing and Community Affairs;Housing Code Enforcement;Fulltime-Regular;Housing Code Inspector III;1999
F;38084.99;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2013
M;55500;Department of Recreation;Mid County Community Recreation Center;Fulltime-Regular;Recreation Specialist;2016
M;52095.66;Department of Liquor Control;Wheaton;Fulltime-Regular;Liquor Store Clerk II;2004
M;144472.55;Fire and Rescue Services;Training;Fulltime-Regular;Fire/Rescue Assistant Chief;1993
F;95238.84;Fire and Rescue Services;Station 4;Fulltime-Regular;Firefighter/Rescuer III;1988
F;86461.39;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;2006
M;64740.06;Office of Human Resources;Labor and Employee Relations Team;Fulltime-Regular;Human Resources Specialist III;2014
F;44753;Department of Recreation;Facilities Division;Fulltime-Regular;Recreation Coordinator;2016
M;56478;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2014
M;68963.6;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2005
M;114983.68;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Manager III;2000
F;87435;Non-Departmental Account;MCERP;Fulltime-Regular;Senior Retirement Analyst;2016
F;56053.24;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician II;1999
M;63107.38;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2014
M;84753.01;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Program Specialist II;2000
M;73161.42;Department of Technology Services;ETSD Telephone Services;Fulltime-Regular;Telecommunications Specialist;2007
F;93396;Department of Health and Human Services;School Health Services;Fulltime-Regular;Administrative Specialist III;1990
M;62835.65;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
F;210143;Department of Permitting Services;Director;Fulltime-Regular;Director Department of Permitting Services;1986
F;77328;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);1998
M;75277.02;Department of Transportation;Highway Services;Fulltime-Regular;Work Force Leader II;1989
F;48260.15;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2006
M;64141;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1999
M;66639.25;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Therapist II;2012
M;95187.98;Fire and Rescue Services;Station 34;Fulltime-Regular;Master Firefighter/Rescuer;1985
F;29779.07;Department of Liquor Control;Leisure World;Parttime-Regular;Liquor Store Clerk I;2010
F;97912;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2000
F;70402.55;Board of Elections;Election Judge Recruitment;Fulltime-Regular;Administrative Specialist I;2006
F;82390.34;Department of Environmental Protection;Environmental Planning and Policy Implementation;Fulltime-Regular;Program Manager II;2013
M;60775;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2008
M;67007.32;Department of Environmental Protection;Solid Waste Services Collection Operations;Fulltime-Regular;Code Enforcement Inspector III;2004
F;26208.35;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1994
M;67206;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator III;1995
F;93945;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;2001
M;83497.98;Department of Transportation;Transportation Technical Center;Fulltime-Regular;Transportation Systems Technician III;1990
F;92756.7;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1995
F;58941.9;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2000
F;62359.07;Board of Elections;Information Technology;Fulltime-Regular;Information Technology Technician III;2014
M;65752;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2009
M;155693.29;Department of Police;PSB 3rd District Station;Fulltime-Regular;Police Captain;1985
M;39003.45;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2015
F;93396;County Attorney Office;Health and Human Services;Fulltime-Regular;Paralegal Specialist;1999
M;52923.68;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector I;2010
F;139531.73;Office of Procurement;Procurement Division;Fulltime-Regular;Manager II;1995
M;89570.31;Department of Environmental Protection;Watershed Restoration and Capital Projects;Fulltime-Regular;Engineer III;2014
F;56980.9;Department of Public Libraries;Germantown Library;Fulltime-Regular;Librarian I;2008
F;84974;Department of Police;MSB Communications Division;Fulltime-Regular;Program Specialist II;2005
M;44618;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2003
M;135392;Department of Health and Human Services;Information Systems and Technology;Fulltime-Regular;Manager III;2003
F;17793.56;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2013
M;43525.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
F;50317.92;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Services Assistant;2007
F;46084.51;Department of Health and Human Services;STD and HIV Services;Fulltime-Regular;Principal Administrative Aide;2005
M;122788.02;Fire and Rescue Services;Field Relief Personnel;Fulltime-Regular;Fire/Rescue Captain;1990
F;97912;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Supervisor;1989
F;105743.92;Department of Health and Human Services;Adult Shelters;Fulltime-Regular;Program Manager II;1988
