id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
4791,F,30100.72,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Assistant I,1989
4792,M,81557,Fire and Rescue Services,Field Operations Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2007
4793,M,75330.17,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,2006
4794,M,40946.22,Department of Liquor Control,Silver Spring,Fulltime-Regular,Liquor Store Clerk II,2012
4795,M,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
4796,M,80145,Fire and Rescue Services,Station 18,Fulltime-Regular,Master Firefighter/Rescuer,2004
4797,M,52472.35,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2005
4798,F,86673.48,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Program Specialist II,1988
4799,F,54402.73,Department of Health and Human Services,OESS-Health Care for the Uninsured,Fulltime-Regular,Income Assistance Program Specialist II,2012
4800,M,68015,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer III,2006
4801,F,102664,Office of Human Resources,Police Labor Relations Team,Fulltime-Regular,Human Resources Specialist III,2006
4802,M,92576,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2005
4803,M,60501,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
4804,M,92756.7,Department of Police,PSB 5th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,1988
4805,M,52693,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2013
4806,F,122300,Offices of the County Executive,County Executive\'s Office,Parttime-Regular,Special Assistant to County Executive,2000
4807,F,83497.98,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,1990
4808,M,80829,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2003
4809,M,68054,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2005
4810,F,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1984
4811,M,40631.32,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2015
4812,M,76015.03,Department of Liquor Control,Purchasing,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,1987
4813,M,65752,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2002
4814,F,102664,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager II,1980
4815,M,156525,County Attorney\'s Office,Government Operations,Fulltime-Regular,Manager II,1988
4816,F,156525,County Council,Council Central Staff,Fulltime-Regular,Manager II,1970
4817,M,87891,Fire and Rescue Services,Station 10,Fulltime-Regular,Master Firefighter/Rescuer,2002
4818,F,39257,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014
4819,M,90896,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,1999
4820,M,50820.87,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2015
4821,F,38085.07,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2013
4822,M,82206,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,2006
4823,F,102664,Department of Health and Human Services,'Chief,Behavioral Health and Crisis Services',Fulltime-Regular,Management and Budget Specialist III,2006
4824,F,86588,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2001
4825,M,58440.3,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,2008
4826,M,60447.99,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2000
4827,M,100684.37,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),1999
4828,M,137264.09,Department of Police,FSB Animal Services Division,Fulltime-Regular,Chief Veterinarian,2014
4829,M,63171.74,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2007
4830,M,97755,Fire and Rescue Services,Fourth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2000
4831,F,57807.08,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1981
4832,F,66330.33,Department of Health and Human Services,Chief Operating Officer,Fulltime-Regular,Executive Administrative Aide,2007
4833,M,135392,Department of Permitting Services,Information Technology Services,Fulltime-Regular,Manager III,1988
4834,M,50671.27,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
4835,M,36707.05,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician III,2014
4836,M,55769.09,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,2006
4837,M,60501,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2012
4838,M,77231,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,2008
4839,M,90199,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,1999
4840,M,68910.33,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Technician III,2001
4841,F,118400,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,1999
4842,M,69222.18,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant II,1987
4843,M,51091,Sheriff\'s Office,Civil Process,Fulltime-Regular,Deputy Sheriff III,2014
4844,F,62678.98,Fire and Rescue Services,Procurement,Fulltime-Regular,Administrative Specialist III,2008
4845,M,42539.31,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Equipment Operator II,2012
4846,F,62701.49,Department of Transportation,Director Management Services,Fulltime-Regular,Executive Administrative Aide,2012
4847,F,46929.17,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2015
4848,F,64705.41,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2011
4849,M,47693,Sheriff\'s Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,2016
4850,M,66065.23,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,1979
4851,M,118400,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,2000
4852,M,57265,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,2011
4853,F,58855.37,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,2004
4854,M,91969.07,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,1990
4855,F,67206,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Office Services Coordinator,1999
4856,M,40368.82,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2014
4857,M,135392,Department of Transportation,Traffic Engineering and Operations Development Review,Fulltime-Regular,Manager III,1978
4858,M,130507.22,Correction and Rehabilitation,DS MCDC Intake/Release Operations,Fulltime-Regular,Manager III,1990
4859,M,60171.43,Department of Liquor Control,Westwood,Fulltime-Regular,Liquor Store Assistant Manager,2002
4860,F,75076.73,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2010
4861,M,56478,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2014
4862,F,82821,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,2000
4863,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
4864,F,43761.61,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Associate II,1984
4865,M,53192.47,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Specialist,2005
4866,M,80784,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2000
4867,F,134865.58,Department of Finance,General Accounting,Fulltime-Regular,Program Manager II,1990
4868,F,75277.02,Sheriff\'s Office,Administration,Fulltime-Regular,Senior Executive Administrative Aide,1990
4869,M,103708.64,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),1996
4870,M,75406,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2006
4871,F,29779.09,Department of Liquor Control,Montrose,Parttime-Regular,Liquor Store Clerk I,2014
4872,F,53207.38,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Services Assistant,2006
4873,M,89620,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Police Officer III,1998
4874,M,73801,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2006
4875,M,71451.79,Department of Recreation,Wisconsin Place Community Recreation Center,Fulltime-Regular,Recreation Specialist,2001
4876,M,60501,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2012
4877,M,52701.95,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
4878,F,83971.62,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2012
4879,M,54882.52,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,1996
4880,M,156525,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Manager II,1989
4881,M,71796,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2007
4882,M,88712.56,Office of Public Information,Web Content and Graphic Management,Fulltime-Regular,Information Technology Specialist III,2003
4883,F,34241.8,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Assistant I,2001
4884,F,60201.44,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,1987
4885,M,64812,Department of Police,PSB 2nd District Traffic Squad,Fulltime-Regular,Police Officer III,2012
4886,M,92756.7,Department of Police,PSB 4th District Traffic Squad,Fulltime-Regular,Police Officer III,1992
4887,F,69222.18,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Office Services Coordinator,1987
4888,M,90045.25,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Accountant/Auditor III,2014
4889,M,45049.12,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012
4890,M,21485.7,Department of Public Libraries,Cataloging and Preparation,Parttime-Regular,Library Technician,1990
4891,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
4892,?,86225,Department of Transportation,Traffic Engineering and Operations Management Services,Fulltime-Regular,Information Technology Specialist III,2016
4893,M,45048.5,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
4894,M,85405,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1999
4895,M,61384.75,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2012
4896,M,96763.35,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff Sergeant,1994
4897,F,50579.18,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative I,2011
4898,M,91969.07,Fire and Rescue Services,Station 19,Fulltime-Regular,Master Firefighter/Rescuer,1993
4899,F,102664,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Management and Budget Specialist III,2008
4900,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
4901,M,148930.75,Department of Transportation,Director Management Services,Fulltime-Regular,Manager II,2004
4902,F,69842.16,Offices of the County Executive,County Executive\'s Office,Fulltime-Regular,Senior Executive Administrative Aide,2014
4903,M,40368.82,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2014
4904,M,48596,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Motor Pool Attendant,2006
4905,F,97912,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,1998
4906,F,75002.25,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,2005
4907,M,192769.12,Offices of the County Executive,County Executive,Fulltime-Regular,County Executive,1986
4908,M,54814,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014
4909,F,89620,Department of Police,ISB Major Crimes Division Cold Case Section,Fulltime-Regular,Police Officer III,1998
4910,M,90871.7,Department of Recreation,Management Services,Fulltime-Regular,Accountant/Auditor III,2012
4911,M,113073.47,Department of Housing and Community Affairs,Management Services,Fulltime-Regular,Senior Information Technology Specialist,1999
4912,M,96763.35,Sheriff\'s Office,Civil Process,Fulltime-Regular,Deputy Sheriff Sergeant,1995
4913,M,84364.83,Department of Permitting Services,'Team 4 Commercial Electrical,Mechanical and Fire Protection Systems',Fulltime-Regular,Senior Permitting Services Specialist,2008
4914,M,131348.75,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,1989
4915,M,52693,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2013
4916,M,93396,Department of Transportation,Transportation Management,Fulltime-Regular,Shift Supervisor Transportation Management Center,1993
4917,F,45151.08,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,1989
4918,M,63493,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,2008
4919,M,89079,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Equipment Maintenance Crew Chief,2000
4920,M,63493,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2008
4921,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
4922,F,80897.21,Fire and Rescue Services,Training,Fulltime-Regular,Program Manager II,2015
4923,F,84974,Department of Transportation,Transit COS Marketing,Fulltime-Regular,Transit Marketing Specialist,2000
4924,F,105743.92,Department of Police,ISB Family Crimes Division,Fulltime-Regular,Program Manager II,1987
4925,F,81066,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,2000
4926,F,44207.44,Department of Transportation,Transit Special Transportation and Medicaid,Fulltime-Regular,Community Services Aide II,2015
4927,M,50272.2,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2013
4928,F,69222.18,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Office Services Coordinator,1994
4929,M,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
4930,F,52693,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,2013
4931,M,50910,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer III,2014
4932,M,58455,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
4933,M,53109.41,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Team Supervisor,1996
4934,F,44289.72,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2015
4935,M,65716,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2007
4936,M,143609.88,County Attorney\'s Office,Insurance Defense Litigation,Fulltime-Regular,Assistant County Attorney III,1992
4937,M,60201.44,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,1980
4938,M,76936,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,2000
4939,F,70151.86,Department of Transportation,Transportation Engineering Administration,Fulltime-Regular,Executive Administrative Aide,2006
4940,F,102664,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Nurse Manager,2001
4941,F,156525,Department of Health and Human Services,'Chief,Public Health',Fulltime-Regular,Manager II,2008
4942,M,83658,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2002
4943,M,63345,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,2005
4944,M,156525,County Council,Council Central Staff,Fulltime-Regular,Manager II,1989
4945,M,57307.89,Department of Liquor Control,Pike,Fulltime-Regular,Liquor Store Assistant Manager,2003
4946,M,128519,County Council,Council Members and Staff,Fulltime-Regular,Council Member,2002
4947,F,30100.72,Department of Public Libraries,Quince Orchard Library,Parttime-Regular,Library Assistant I,1988
4948,F,61139.52,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2015
4949,F,100849.36,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,1990
4950,F,28473.99,Department of Health and Human Services,School Health Services,Parttime-Regular,Principal Administrative Aide,1998
4951,F,77098.49,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Planning Specialist III,2014
4952,M,69368.25,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,2013
4953,M,67139.65,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Office Services Coordinator,2007
4954,F,67206,Department of Finance,Payroll,Fulltime-Regular,Office Services Coordinator,2000
4955,M,37684,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2016
4956,M,72433,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,2005
4957,F,55251.81,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1997
4958,M,70466.92,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Welder,2000
4959,M,72185,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2003
4960,F,85425,Office of Human Resources,Classification and Compensation Team,Fulltime-Regular,Human Resources Specialist III,2016
4961,M,52472.36,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2005
4962,M,76564.78,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,1997
4963,M,88661.44,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Firefighter/Rescuer III,1995
4964,M,77343,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic II,2001
4965,M,43525.72,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2011
4966,M,105290,Department of Public Libraries,Little Falls Library,Fulltime-Regular,Manager III,2002
4967,F,82802.65,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2014
4968,F,63315,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Specialist I,2016
4969,F,100849.36,Department of Public Libraries,Collection Development,Fulltime-Regular,Librarian II,1990
4970,F,106448.44,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff Lieutenant,1991
4971,M,89620,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1998
4972,M,85425,Fire and Rescue Services,Information Technology,Fulltime-Regular,Information Technology Specialist II,2016
4973,F,24134.31,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000
4974,F,118400,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Senior Information Technology Specialist,2005
4975,F,96736.28,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Specialist III,2015
4976,F,117783.53,Non-Departmental Account,MCERP,Fulltime-Regular,Manager III,2011
4977,F,50424.68,Department of Public Libraries,Cataloging and Preparation,Parttime-Regular,Librarian II,1988
4978,F,39455.54,County Attorney\'s Office,Administration,Fulltime-Regular,Imaging Operator I,2007
4979,F,118400,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,2004
4980,F,116633.77,Department of Finance,Information Technology,Fulltime-Regular,Senior Information Technology Specialist,2007
4981,M,102664,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Senior Planning Specialist,2002
4982,M,56687.16,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2002
4983,F,97912,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,2003
4984,M,64141,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,2004
4985,F,69024.51,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,2013
4986,M,94413.38,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Engineer III,2010
4987,M,40631.32,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist III,2015
4988,M,60501,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2012
4989,M,47940.52,Department of Police,FSB Security Services Division,Fulltime-Regular,Program Specialist I,2014
4990,M,98523,Fire and Rescue Services,Station 25,Fulltime-Regular,Fire/Rescue Lieutenant,2002
4991,F,23318.28,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2002
4992,F,95933.26,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensic Firearms/Toolmark Examiner,2012
4993,F,63488.38,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,2003
4994,F,16685.02,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Aide,2012
4995,F,39162.87,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2008
4996,F,75318.27,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2000
4997,M,45048.5,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2012
4998,F,28294.42,Department of Public Libraries,Twinbrook Library,Parttime-Regular,Library Assistant I,1998
4999,F,20071.75,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Assistant I,2007
5000,F,22429.61,Department of Public Libraries,Little Falls Library,Parttime-Regular,Library Assistant I,1999
5001,M,118400,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,2002
5002,F,67206,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Services Assistant,2002
5003,F,46341.94,Department of Public Libraries,Potomac Library,Fulltime-Regular,Library Assistant II,2005
5004,F,64615.14,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2005
5005,F,65643.26,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2012
5006,F,43761.61,Department of Public Libraries,Rockville Library,Parttime-Regular,Librarian I,1980
5007,M,43525.72,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2011
5008,M,78198.3,Offices of the County Executive,CountyStat,Fulltime-Regular,Senior Management and Budget Specialist,2014
5009,F,18247.04,Department of Public Libraries,Quince Orchard Library,Parttime-Regular,Library Aide,2002
5010,F,95263.92,Department of Police,MSB Information Management and Technology DivisioinCrime Analysis Section,Fulltime-Regular,Program Manager I,1983
5011,M,84229.41,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,2007
5012,M,126781.06,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Captain,1988
5013,M,49364,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2015
5014,F,47631.96,Department of Health and Human Services,Juvenile Justice Services,Parttime-Regular,Program Manager I,1993
5015,F,52472.35,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2005
5016,M,57718.21,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Coordinator,1998
5017,M,120452.71,Department of Transportation,Highway Administration,Fulltime-Regular,Manager III,2006
5018,M,69744,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2004
5019,F,50697.91,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2006
5020,M,68015,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,2006
5021,M,112899,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Senior Engineer,2003
5022,M,118080.06,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Captain,1986
5023,M,131905.06,Fire and Rescue Services,Station 31,Fulltime-Regular,Fire/Rescue Captain,1987
5024,M,55122.12,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2004
5025,M,37822.53,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2013
5026,M,66065.23,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,1985
5027,M,78753,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,2006
5028,F,47821.87,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,2007
5029,F,57361.81,Department of Permitting Services,Zoning and Site Plan Enforcement,Fulltime-Regular,Office Services Coordinator,2004
5030,F,87523.22,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Associate II,1985
5031,F,99939.88,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Engineer III,2009
5032,F,93396,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,2013
5033,M,117174.02,Fire and Rescue Services,Station 22,Fulltime-Regular,Fire/Rescue Captain,1991
5034,M,39257,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2016
5035,M,65382,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,2012
5036,F,92756.7,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1993
5037,F,21357.88,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Desk Assistant,2006
5038,M,37934.69,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,2007
5039,M,55802,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,2001
5040,F,59072,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2016
5041,M,43525.72,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2013
5042,M,70396,Fire and Rescue Services,Station 20,Fulltime-Regular,Firefighter/Rescuer III,2005
5043,M,52032.89,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,2008
5044,M,97560,Fire and Rescue Services,Station 22,Fulltime-Regular,Master Firefighter/Rescuer,1998
5045,M,84974,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,2012
5046,F,100394.16,County Attorney\'s Office,Government Operations,Fulltime-Regular,Assistant County Attorney III,2006
5047,M,58455,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2013
5048,M,59000,Office of Management and Budget,Special Projects,Fulltime-Regular,Senior Management and Budget Specialist,2016
5049,F,78740.52,Department of Police,ISB Criminal Investigations Division Crime Laboratory Section,Fulltime-Regular,Forensic Scientist,2006
5050,F,102664,Department of Health and Human Services,Adult Intensive Outpatient Services,Fulltime-Regular,Supervisory Therapist,2006
5051,M,175127,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Manager I,1997
5052,M,47947.55,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2005
5053,M,60501,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2012
5054,F,81066,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,1999
5055,M,126781.06,Fire and Rescue Services,Station 34,Fulltime-Regular,Fire/Rescue Captain,1985
5056,F,68344.59,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,2012
5057,M,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1990
5058,M,86588,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2005
