;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
4161;M; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
4162;M; 56.715,60 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2014
4163;F; 100.849,36 ;Department of Health and Human Services;Clinical Assessment and Triage Services;Fulltime-Regular;Therapist II;1988
4164;F; 91.882,20 ;Correction and Rehabilitation;DS Intake Classification and Re-Entry Services;Fulltime-Regular;Correctional Specialist V;2001
4165;M; 53.788,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
4166;M; 32.098,00 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2016
4167;M; 82.182,00 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;2004
4168;M; 79.663,29 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Electrician II;1990
4169;M; 79.647,84 ;Correction and Rehabilitation;DS MCCF Facilities Maintenance;Fulltime-Regular;Correctional Officer III (Corporal);1990
4170;M; 76.716,00 ;Fire and Rescue Services;Station 3;Fulltime-Regular;Firefighter/Rescuer III;2006
4171;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1995
4172;F; 52.472,35 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2005
4173;M; 59.187,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2006
4174;F; 42.662,89 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2015
4175;M; 46.626,87 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2008
4176;M; 80.145,00 ;Fire and Rescue Services;Station 12;Fulltime-Regular;Master Firefighter/Rescuer;2004
4177;M; 33.395,00 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
4178;M; 41.781,91 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
4179;F; 73.801,00 ;Fire and Rescue Services;Budgets and Grants;Fulltime-Regular;Administrative Specialist I;2000
4180;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1992
4181;M; 43.244,28 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2011
4182;M; 89.620,00 ;Department of Police;ISB Family Crimes Division Child Abuse Sexual Assault Section;Fulltime-Regular;Police Officer III;1998
4183;M; 92.756,70 ;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Police Officer III;1994
4184;M; 70.422,00 ;Department of General Services;Fleet Management Services;Fulltime-Regular;Senior Supply Technician;2007
4185;F; 55.488,29 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide I;2008
4186;F; 91.532,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1997
4187;M; 65.752,00 ;Department of Police;MSB Personnel Division Recruitment Section;Fulltime-Regular;Police Officer III;2010
4188;M; 55.671,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
4189;F; 69.222,18 ;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Office Services Coordinator;1984
4190;M; 52.472,36 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2005
4191;M; 78.250,23 ;Department of Health and Human Services;Facilities and Logistical Services;Fulltime-Regular;Administrative Specialist II;1968
4192;M; 50.211,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
4193;F; 37.838,48 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
4194;M; 77.328,00 ;Correction and Rehabilitation;DS MCDC Central Processing Unit;Fulltime-Regular;Correctional Officer III (Corporal);2001
4195;F; 70.000,00 ;Department of Health and Human Services;Chief Operating Officer;Fulltime-Regular;Administrative Specialist III;2016
4196;M; 66.065,23 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1985
4197;M; 73.775,81 ;Department of Police;PSB 6th District Station;Fulltime-Regular;Police District Station Assistant;1996
4198;M; 74.424,00 ;"b""Sheriff\\s Office""";Administration;Fulltime-Regular;Deputy Sheriff III;2004
4199;M; 118.400,00 ;Department of Technology Services;ESOD Public Safety Data Support;Fulltime-Regular;Senior Information Technology Specialist;2008
4200;F; 46.863,15 ;Correction and Rehabilitation;PTS Intervention Program for Substance Abusers;Fulltime-Regular;Correctional Specialist II;2014
4201;F; 37.625,90 ;Department of Public Libraries;Poolesville Library;Parttime-Regular;Library Assistant I;1977
4202;M; 58.657,24 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2001
4203;M; 89.620,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2000
4204;M; 92.756,70 ;Department of Police;FSB Traffic Division School Safety Section;Fulltime-Regular;Police Officer III;1986
4205;M; 100.670,07 ;Fire and Rescue Services;Station 35;Fulltime-Regular;Master Firefighter/Rescuer;1993
4206;M; 37.684,00 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2003
4207;M; 83.658,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2002
4208;F; 95.263,92 ;Department of General Services;Administration and Budget;Fulltime-Regular;Administrative Specialist III;1986
4209;F; 94.532,52 ;Office of Public Information;MC311;Fulltime-Regular;Program Manager II;2010
4210;F; 36.120,86 ;Department of Public Libraries;Collection Development;Parttime-Regular;Library Technician;1972
4211;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
4212;M; 63.067,93 ;Department of Liquor Control;Flower Avenue;Fulltime-Regular;Liquor Store Clerk II;1993
4213;M; 56.463,95 ;Department of General Services;Fleet Management Services;Fulltime-Regular;Supply Technician III;2008
4214;F; 97.912,00 ;Department of Health and Human Services;Care Coordination;Fulltime-Regular;Community Health Nurse II;1999
4215;F; 80.902,50 ;Department of Health and Human Services;Home Care Services;Fulltime-Regular;Social Worker IV;2016
4216;F; 53.086,16 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Coordinator;2006
4217;F; 70.350,00 ;Department of Environmental Protection;Environmental Planning and Policy Implementation;Fulltime-Regular;Program Manager I;2016
4218;F; 47.300,93 ;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Office Services Coordinator;2009
4219;M; 39.257,31 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
4220;M; 40.631,32 ;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2015
4221;F; 42.662,88 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;2015
4222;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
4223;F; 87.967,15 ;"b""Sheriff\\s Office""";Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;1984
4224;M; 70.435,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2007
4225;M; 63.493,00 ;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2008
4226;M; 58.448,00 ;Department of General Services;Fleet Management Services;Fulltime-Regular;Supply Technician III;2000
4227;M; 42.053,83 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2014
4228;F; 19.263,33 ;Department of Public Libraries;Silver Spring Library;Parttime-Regular;Library Desk Assistant;2013
4229;F; 97.374,14 ;Office of Human Resources;Training and Organizational Development Team;Fulltime-Regular;Human Resources Specialist III;2006
4230;F; 77.817,32 ;Department of Health and Human Services;Educational Support;Fulltime-Regular;Program Manager I;2006
4231;M; 117.174,02 ;Fire and Rescue Services;Station 15;Fulltime-Regular;Fire/Rescue Captain;1989
4232;F; 60.201,44 ;Department of Public Libraries;Kensington Park Library;Fulltime-Regular;Library Assistant I;1996
4233;M; 78.096,00 ;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;2004
4234;M; 48.260,15 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2006
4235;M; 118.400,00 ;Department of Technology Services;EASD DCM Administration;Fulltime-Regular;Senior Information Technology Specialist;2004
4236;F; 157.996,40 ;Board of Elections;Director;Fulltime-Regular;Manager I;2001
4237;F; 45.701,39 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Call-Taker II;2013
4238;M; 52.603,81 ;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;2007
4239;M; 57.476,06 ;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Public Service Worker III;1990
4240;F; 73.801,00 ;Department of Police;Management Services Bureau;Fulltime-Regular;Administrative Specialist I;2001
4241;M; 43.525,72 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2013
4242;F; 64.973,78 ;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;1999
4243;M; 73.801,00 ;Department of Transportation;Traffic Engineering Studies Section;Fulltime-Regular;Engineer Technician II;2006
4244;F; 60.201,44 ;Department of Public Libraries;Potomac Library;Fulltime-Regular;Library Assistant I;1992
4245;M; 63.493,00 ;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2008
4246;M; 79.747,80 ;Department of Recreation;Countywide Programs Sports;Fulltime-Regular;Recreation Specialist;2002
4247;F; 95.000,00 ;Department of Health and Human Services;Human Resources;Fulltime-Regular;Program Manager II;2016
4248;F; 75.595,57 ;Department of Health and Human Services;Community Action Agency;Fulltime-Regular;Program Specialist II;2010
4249;M; 175.127,00 ;Department of Transportation;Transportation Engineering Administration;Fulltime-Regular;Manager I;2001
4250;M; 56.300,00 ;Department of Permitting Services;Land Development Right-of-Way Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2016
4251;M; 93.396,00 ;Department of Housing and Community Affairs;Housing Code Enforcement;Fulltime-Regular;Housing Code Inspector III;1999
4252;F; 38.084,99 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2013
4253;M; 55.500,00 ;Department of Recreation;Mid County Community Recreation Center;Fulltime-Regular;Recreation Specialist;2016
4254;M; 52.095,66 ;Department of Liquor Control;Wheaton;Fulltime-Regular;Liquor Store Clerk II;2004
4255;M; 144.472,55 ;Fire and Rescue Services;Training;Fulltime-Regular;Fire/Rescue Assistant Chief;1993
4256;F; 95.238,84 ;Fire and Rescue Services;Station 4;Fulltime-Regular;Firefighter/Rescuer III;1988
4257;F; 86.461,39 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;2006
4258;M; 64.740,06 ;Office of Human Resources;Labor and Employee Relations Team;Fulltime-Regular;Human Resources Specialist III;2014
4259;F; 44.753,00 ;Department of Recreation;Facilities Division;Fulltime-Regular;Recreation Coordinator;2016
4260;M; 56.478,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2014
4261;M; 68.963,60 ;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2005
4262;M; 114.983,68 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Manager III;2000
4263;F; 87.435,00 ;Non-Departmental Account;MCERP;Fulltime-Regular;Senior Retirement Analyst;2016
4264;F; 56.053,24 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician II;1999
4265;M; 63.107,38 ;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2014
4266;M; 84.753,01 ;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Program Specialist II;2000
4267;M; 73.161,42 ;Department of Technology Services;ETSD Telephone Services;Fulltime-Regular;Telecommunications Specialist;2007
4268;F; 93.396,00 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Administrative Specialist III;1990
4269;M; 62.835,65 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
4270;F; 210.143,00 ;Department of Permitting Services;Director;Fulltime-Regular;Director Department of Permitting Services;1986
4271;F; 77.328,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);1998
4272;M; 75.277,02 ;Department of Transportation;Highway Services;Fulltime-Regular;Work Force Leader II;1989
4273;F; 48.260,15 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2006
4274;M; 64.141,00 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1999
4275;M; 66.639,25 ;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Therapist II;2012
4276;M; 95.187,98 ;Fire and Rescue Services;Station 34;Fulltime-Regular;Master Firefighter/Rescuer;1985
4277;F; 29.779,07 ;Department of Liquor Control;Leisure World;Parttime-Regular;Liquor Store Clerk I;2010
4278;F; 97.912,00 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2000
4279;F; 70.402,55 ;Board of Elections;Election Judge Recruitment;Fulltime-Regular;Administrative Specialist I;2006
4280;F; 82.390,34 ;Department of Environmental Protection;Environmental Planning and Policy Implementation;Fulltime-Regular;Program Manager II;2013
4281;M; 60.775,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2008
4282;M; 67.007,32 ;Department of Environmental Protection;Solid Waste Services Collection Operations;Fulltime-Regular;Code Enforcement Inspector III;2004
4283;F; 26.208,35 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1994
4284;M; 67.206,00 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator III;1995
4285;F; 93.945,00 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;2001
4286;M; 83.497,98 ;Department of Transportation;Transportation Technical Center;Fulltime-Regular;Transportation Systems Technician III;1990
4287;F; 92.756,70 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;1995
4288;F; 58.941,90 ;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer I;2000
4289;F; 62.359,07 ;Board of Elections;Information Technology;Fulltime-Regular;Information Technology Technician III;2014
4290;M; 65.752,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2009
4291;M; 155.693,29 ;Department of Police;PSB 3rd District Station;Fulltime-Regular;Police Captain;1985
4292;M; 39.003,45 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2015
4293;F; 93.396,00 ;"b""County Attorney\\s Office""";Health and Human Services;Fulltime-Regular;Paralegal Specialist;1999
4294;M; 52.923,68 ;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector I;2010
4295;F; 139.531,73 ;Office of Procurement;Procurement Division;Fulltime-Regular;Manager II;1995
4296;M; 89.570,31 ;Department of Environmental Protection;Watershed Restoration and Capital Projects;Fulltime-Regular;Engineer III;2014
4297;F; 56.980,90 ;Department of Public Libraries;Germantown Library;Fulltime-Regular;Librarian I;2008
4298;F; 84.974,00 ;Department of Police;MSB Communications Division;Fulltime-Regular;Program Specialist II;2005
4299;M; 44.618,00 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2003
4300;M; 135.392,00 ;Department of Health and Human Services;Information Systems and Technology;Fulltime-Regular;Manager III;2003
4301;F; 17.793,56 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2013
4302;M; 43.525,12 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
4303;F; 50.317,92 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Services Assistant;2007
4304;F; 46.084,51 ;Department of Health and Human Services;STD and HIV Services;Fulltime-Regular;Principal Administrative Aide;2005
4305;M; 122.788,02 ;Fire and Rescue Services;Field Relief Personnel;Fulltime-Regular;Fire/Rescue Captain;1990
4306;F; 97.912,00 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Supervisor;1989
4307;F; 105.743,92 ;Department of Health and Human Services;Adult Shelters;Fulltime-Regular;Program Manager II;1988
4308;F; 67.206,00 ;Department of Health and Human Services;Area Agency on Aging Administration;Fulltime-Regular;Office Services Coordinator;2001
4309;M; 67.863,01 ;Department of General Services;Facilities;Fulltime-Regular;Supply Technician II;2001
4310;M; 70.301,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2001
4311;M; 40.843,75 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Urban District Public Service Aide;2005
4312;M; 91.751,37 ;Department of Environmental Protection;Water Quality Monitoring and Planning;Fulltime-Regular;Water Quality Specialist II;1995
4313;F; 64.057,09 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Office Services Coordinator;1999
4314;M; 141.063,02 ;Department of Police;FSB Special Operations Division;Fulltime-Regular;Police Captain;1995
4315;M; 72.902,00 ;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;2006
4316;M; 55.328,00 ;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;2013
4317;M; 107.128,71 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Sergeant;1992
4318;F; 95.263,92 ;Department of Recreation;Southern Region Area III;Fulltime-Regular;Recreation Supervisor;1993
4319;F; 81.066,00 ;Department of Police;ISB Family Crimes Division Family Outreach Section;Fulltime-Regular;Client Assistance Specialist;1997
4320;M; 62.835,65 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
4321;F; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
4322;F; 100.849,36 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;1988
4323;F; 97.912,00 ;Department of Finance;Insurance;Fulltime-Regular;Insurance Risk Analyst;1998
4324;M; 50.910,00 ;Fire and Rescue Services;Station 21;Fulltime-Regular;Firefighter/Rescuer III;2014
4325;M; 118.400,00 ;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Senior Information Technology Specialist;2015
4326;M; 140.794,00 ;Department of Technology Services;ERP Technical Support;Fulltime-Regular;Technology Expert;2014
4327;F; 74.146,46 ;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2000
4328;F; 44.810,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2005
4329;M; 50.825,19 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Services Assistant;2007
4330;M; 53.788,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
4331;F; 84.974,00 ;Department of Finance;Accounts Receivable;Fulltime-Regular;Administrative Specialist II;2005
4332;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
4333;F; 46.516,83 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2003
4334;F; 36.914,25 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;2013
4335;F; 62.903,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
4336;F; 91.007,15 ;Department of Liquor Control;Potomac;Fulltime-Regular;Liquor Store Manager;1986
4337;F; 100.688,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1997
4338;M; 86.537,84 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;1988
4339;F; 48.258,81 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Principal Administrative Aide;2007
4340;M; 81.066,00 ;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Behavioral Health Associate Counselor;2012
4341;M; 112.899,00 ;Department of General Services;Facilities;Fulltime-Regular;Senior Engineer;2008
4342;F; 75.483,80 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Transit Operations Supervisor;1998
4343;M; 56.990,00 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Firefighter/Rescuer III;2014
4344;F; 41.954,12 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2005
4345;M; 16.049,00 ;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2013
4346;F; 66.158,11 ;Department of Public Libraries;Aspen Hill Library;Fulltime-Regular;Library Assistant Supervisor;2001
4347;M; 92.756,70 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;1988
4348;F; 59.787,12 ;Department of Liquor Control;White Oak;Fulltime-Regular;Liquor Store Clerk II;1999
4349;M; 106.754,60 ;Fire and Rescue Services;Fire and Explosive Investigations;Fulltime-Regular;Fire/Rescue Lieutenant;1986
4350;F; 86.588,00 ;Department of Police;PSB 3rd District Educational Facilities Officers;Fulltime-Regular;Police Officer III;2006
4351;M; 100.047,96 ;Department of Recreation;Office of the Director;Fulltime-Regular;Program Manager II;2007
4352;F; 91.801,23 ;Department of Finance;Grants Accounting;Fulltime-Regular;Accountant/Auditor III;2010
4353;F; 69.626,72 ;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2014
4354;M; 45.048,50 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
4355;F; 20.419,48 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2006
4356;M; 58.455,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
4357;F; 54.402,73 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Office Services Coordinator;2012
4358;M; 56.733,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
4359;F; 28.772,17 ;Department of Liquor Control;Goshen Crossing;Parttime-Regular;Liquor Store Clerk I;2015
4360;M; 67.753,00 ;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2007
4361;F; 46.259,09 ;Department of Health and Human Services;"b""Director\\s Office""";Fulltime-Regular;Office Services Coordinator;2014
4362;M; 50.910,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2014
4363;F; 126.000,00 ;Department of Technology Services;ERP Financials;Fulltime-Regular;ERP Functional Business Analyst;2016
4364;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;1997
4365;F; 24.023,10 ;Department of Public Libraries;Bethesda Library;Parttime-Regular;Library Assistant I;2005
4366;M; 175.127,00 ;Department of Permitting Services;"b""Director\\s Office""";Fulltime-Regular;Manager I;1989
4367;F; 56.280,85 ;"b""County Attorney\\s Office""";Health and Human Services;Parttime-Regular;Assistant County Attorney III;2011
4368;M; 89.620,00 ;Department of Police;FSB Traffic Division Collision Reconstruction;Fulltime-Regular;Police Officer III;1999
4369;M; 36.493,52 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Motor Pool Attendant;2008
4370;F; 68.614,81 ;Department of Police;FSB Animal Services Division;Fulltime-Regular;Program Manager II;2013
4371;F; 28.738,03 ;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Desk Assistant;1992
4372;M; 45.000,00 ;Department of General Services;Central Duplicating;Fulltime-Regular;Mail Clerk;2016
4373;M; 110.229,00 ;Fire and Rescue Services;Station 32;Fulltime-Regular;Fire/Rescue Captain;1998
4374;M; 80.784,00 ;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;1997
4375;F; 18.247,04 ;Department of Public Libraries;Chevy Chase Library;Parttime-Regular;Library Aide;2006
4376;M; 56.733,00 ;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
4377;M; 43.432,94 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Motor Pool Attendant;2007
4378;M; 48.258,81 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2007
4379;F; 56.306,83 ;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2012
4380;M; 116.285,97 ;Department of Environmental Protection;Water and Waste Water Management;Fulltime-Regular;Senior Engineer;1995
4381;M; 43.525,71 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
4382;M; 107.128,71 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Sergeant;1988
4383;M; 83.497,98 ;Department of Technology Services;ETSD Radio Communications Services;Fulltime-Regular;Communications Equipment Technician II;1990
4384;M; 101.829,00 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Fire/Rescue Lieutenant;2001
4385;M; 70.052,00 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2006
4386;M; 96.869,00 ;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
4387;M; 92.756,70 ;Department of Police;PSB 3rd District Traffic Squad;Fulltime-Regular;Police Officer III;1995
4388;M; 70.435,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2007
4389;F; 140.794,00 ;"b""County Attorney\\s Office""";Insurance Defense Litigation;Fulltime-Regular;Assistant County Attorney III;2007
4390;M; 128.560,48 ;"b""Sheriff\\s Office""";Administration;Fulltime-Regular;Deputy Sheriff Captain;1988
4391;F; 116.042,92 ;Department of Recreation;Countywide Programs;Fulltime-Regular;Manager III;1981
4392;M; 56.478,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2014
4393;F; 19.728,85 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2007
4394;M; 118.400,00 ;Department of General Services;Automation;Fulltime-Regular;Senior Information Technology Specialist;2003
4395;M; 18.684,23 ;Department of Environmental Protection;Solid Waste Services Recycling;Parttime-Regular;Office Clerk;2013
4396;F; 135.392,00 ;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Manager III;1989
4397;M; 93.396,00 ;Department of Finance;Operations and Administration - Treasury;Fulltime-Regular;Senior Business Development Specialist;2007
4398;M; 55.328,00 ;Fire and Rescue Services;Station 26;Fulltime-Regular;Firefighter/Rescuer III;2013
4399;F; 100.849,36 ;Department of Public Libraries;Aspen Hill Library;Fulltime-Regular;Librarian II;1977
4400;F; 40.534,48 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2007
4401;F; 95.741,40 ;Department of Transportation;Highway Services;Fulltime-Regular;Management and Budget Specialist III;2007
4402;M; 92.756,70 ;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Police Officer III;1995
4403;F; 95.715,51 ;Department of Permitting Services;Land Development Sediment Stormwater Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;2014
4404;F; 54.921,24 ;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;2015
4405;F; 105.743,92 ;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;1993
4406;F; 60.091,47 ;Department of Public Libraries;White Oak Library;Fulltime-Regular;Librarian I;2014
4407;M; 102.664,00 ;Department of Housing and Community Affairs;Grants Management;Fulltime-Regular;Senior Planning Specialist;2001
